#k-distance frequency[THz]
0.51490462 2.93283884
0.51755417 2.83411848
0.52020368 2.73575551
0.52285322 2.63775132
0.52550273 2.54010499
0.52815228 2.44281342
0.53080182 2.34587154
0.53345133 2.24927246
0.53610088 2.15300762
0.53875039 2.06997350
0.54139993 1.98643423
0.54404944 1.90153286
0.54669899 1.81530825
0.54934853 1.72780299
0.55199804 1.63906322
0.55464759 1.54913846
0.55729710 1.45808150
0.55994664 1.36594816
0.56259619 1.27279712
0.56524570 1.17868978
0.56789524 1.08369001
0.57054475 0.98786402
0.57319430 0.89128015
0.57584381 0.79400865
0.57849335 0.69612154
0.58114290 0.59769237
0.58379241 0.49879605
0.58644195 0.39950868
0.58909146 0.29990729
0.59174100 0.20006971
0.59439051 0.10007435
0.59704006 0.00000013
0.59704006 0.00000013
0.59968412 0.09737465
0.60232821 0.19464478
0.60497227 0.29170638
0.60761637 0.38845641
0.61026042 0.48479326
0.61290448 0.58061731
0.61554858 0.67583130
0.61819263 0.77034083
0.62083673 0.86405478
0.62348079 0.95688573
0.62612485 1.04875034
0.62876894 1.13956974
0.63141300 1.22926987
0.63405710 1.31778176
0.63670115 1.40504185
0.63934521 1.49099223
0.64198931 1.57558083
0.64463336 1.65876163
0.64727746 1.74049473
0.64992152 1.82074652
0.65256557 1.89948966
0.65520967 1.97670311
0.65785373 2.05237208
0.66049778 2.12648793
0.66314188 2.19904803
0.66578594 2.27005558
0.66843004 2.33951935
0.67107409 2.40745341
0.67371815 2.47387679
0.67636225 2.53881312
0.67900630 2.60229019
0.68165040 2.66433952
0.68429446 2.72499583
0.68693851 2.78429656
0.68958261 2.84228131
0.69222667 2.89899122
0.69487077 2.95446847
0.69751482 3.00875563
0.70015888 3.06189504
0.70280298 3.11392828
0.70544703 3.16489555
0.70809113 3.21483510
0.71073519 3.26378272
0.71337924 3.31177119
0.71602334 3.35882986
0.71866740 3.40498420
0.72131150 3.45025543
0.72395555 3.49466019
0.72659961 3.53821033
0.72924371 3.58091266
0.73188776 3.62276882
0.73453186 3.66377528
0.73717592 3.70392323
0.73981997 3.74319877
0.74246407 3.78158293
0.74510813 3.81905191
0.74775223 3.85557733
0.75039628 3.89112651
0.75304034 3.92566283
0.75568444 3.95914612
0.75832849 3.99153308
0.76097255 4.02277776
